Year,PISA: Mean performance on the reading scale,Year_preprimary,Government expenditure on pre-primary education as % of GDP (%),Year_primary,Government expenditure on primary education as % of GDP (%),Year_secondary,Government expenditure on secondary education as % of GDP (%),Year_tertiary,Government expenditure on tertiary education as % of GDP (%)
2015,405.2588,,,2013.0,2.01438999176025,2013.0,0.701640009880066,2013.0,0.775849997997284
2015,349.8593,,,2003.0,1.90129995346069,2003.0,2.05296993255615,2008.0,1.1698100566863998
2015,425.3031,2013.0,0.438520014286041,2013.0,1.8329000473022496,2013.0,2.2192599773407005,2013.0,1.08135998249054
2015,528.278504417824,2013.0,0.1441799998283389,2013.0,2.0497601032257102,2013.0,2.04874992370605,2013.0,1.36765003204346
2015,492.0560068433071,2013.0,0.59127002954483,2013.0,1.1873300075531,2013.0,2.7461600303649902,2013.0,1.82114994525909
2009,361.51531758916,2011.0,0.36243000626564,,,,,2011.0,0.450249999761581
2015,508.617876321039,2012.0,0.669690012931824,2012.0,1.54683995246887,2012.0,2.7788300514221205,2012.0,1.4386999607086202
2015,411.754927512485,2012.0,0.59867000579834,2012.0,1.77162003517151,2012.0,2.63888001441956,2012.0,1.01603996753693
2015,436.125725278661,2012.0,0.882149994373322,2012.0,0.8354200124740601,2012.0,1.8904099464416495,2012.0,0.888629972934723
2015,534.3127190631141,2000.0,0.2244199961423869,,,2011.0,1.3921500444412198,2012.0,1.90082001686096
2015,458.5709,2013.0,0.7076600193977359,2013.0,1.6856700181961102,2013.0,1.4997600317001298,2013.0,1.1673699617385902
2015,569.5884077490059,1999.0,0.0268200002610683,1999.0,0.6675900220870971,1999.0,0.709309995174408,1999.0,0.454719990491867
2015,424.9052,2014.0,0.2819600105285639,2014.0,2.00554990768433,2014.0,1.7513600587844802,2014.0,1.06684005260468
2015,442.58094355888,2014.0,0.431930005550385,2014.0,2.8544299602508505,2014.0,2.34498000144959,2014.0,1.52019000053406
2015,486.8632,2011.0,0.587279975414276,,,,,2011.0,0.9376099705696108
2015,448.952978703588,2011.0,0.375820010900497,2011.0,2.08123993873596,2011.0,3.0809500217437704,2011.0,1.88191998004913
2015,492.889738211482,2012.0,0.5160300135612489,2012.0,0.7164199948310849,2012.0,2.09758996963501,2012.0,1.12767994403839
2015,499.8146,2011.0,1.34372997283936,2011.0,2.06738996505737,2011.0,2.97483992576599,2011.0,2.63668990135193
2015,357.7377,2014.0,0.258929997682571,2014.0,1.90251994132996,2014.0,1.2907500267028795,2007.0,0.29815000295639
2015,519.1429,2012.0,1.05852997303009,2012.0,1.91508996486664,2012.0,2.39684009552002,2012.0,1.31405997276306
2015,546.868281359491,2013.0,0.7721099853515629,2013.0,1.33651995658875,2013.0,2.77638006210327,2013.0,2.08303999900818
2015,505.481483378022,2012.0,0.6817200183868412,2012.0,1.16949999332428,2012.0,2.82360005378723,2012.0,1.3051700592041
2015,401.2881,2012.0,0.395639985799789,2012.0,1.05104005336761,2012.0,1.07934999465942,2012.0,0.3802199959754939
2015,509.1041,2012.0,0.456649988889694,2012.0,0.7769500017166141,2012.0,2.25490999221802,2012.0,1.35233998298645
2015,482.776241961289,,,,,2005.0,1.3455100059509295,2005.0,1.43079996109009
2015,544.60008598693,2014.0,0.150609999895096,2014.0,1.04728996753693,2014.0,1.48129999637604,2014.0,1.99865996837616
2015,494.178753343222,2012.0,0.777679979801178,2012.0,1.07523000240326,2012.0,2.66231989860535,2012.0,1.20254004001617
2015,506.930461477908,2011.0,0.740289986133575,2011.0,2.68842005729675,2011.0,2.53993010520935,2011.0,1.5484000444412198
2015,401.705195705234,2014.0,0.0750499963760376,2014.0,1.69015002250671,2014.0,0.8987799882888791,2014.0,0.585330009460449
2015,526.668649337734,2012.0,0.1070099994540209,2012.0,2.20223999023438,2012.0,2.072429895401,2012.0,1.4626499414444
2015,485.8032124440441,2013.0,0.73922997713089,2013.0,2.43527007102966,2013.0,1.9548100233078,2013.0,1.2103699445724498
2015,489.754403284842,2012.0,0.48335999250412,2012.0,1.16797995567322,2012.0,2.27328991889954,2011.0,0.8364800214767459
2015,538.051484829528,2014.0,0.10504999756813,2014.0,1.32003998756409,2014.0,1.46853005886078,2014.0,0.781289994716644
2015,408.1022,2011.0,0.0364000014960766,2011.0,2.40149998664856,2011.0,2.22678995132446,1999.0,0.922599971294403
2015,427.141,2014.0,0.283069998025894,,,2014.0,1.90883004665375,2014.0,0.447990000247955
2015,347.1259,,,,,,,,
2009,314.019885623077,2013.0,0.725170016288757,,,2013.0,3.68646001815796,2013.0,1.02847003936768
2015,490.56253369,2013.0,0.964479982852936,2013.0,1.57263994216919,2013.0,2.9680199623107897,2013.0,1.01354002952576
2015,346.54900000000004,,,,,2013.0,0.439720004796982,2013.0,0.768610000610352
2012,525.07501022,2011.0,0.182490006089211,2011.0,1.20111000537872,2011.0,1.21229004859924,2007.0,0.337909996509552
2015,477.306611549969,2012.0,0.8157899975776669,2012.0,0.885670006275177,2012.0,2.91723990440369,2012.0,1.4575400352478
2015,487.80704283399,2011.0,0.7510899901390079,2011.0,1.71164000034332,2011.0,1.90050005912781,,
2015,508.949255420631,2000.0,0.3261699974536899,2003.0,1.06562995910645,2013.0,1.1339499950408898,2013.0,2.2760200500488303
2015,430.5782,2013.0,0.0964199975132942,2013.0,2.38826990127563,2013.0,2.5661599636077903,2013.0,2.62498998641968
2015,446.6661,2012.0,0.509989976882935,2012.0,1.53626000881195,2012.0,5.1432199478149405,2012.0,1.57671999931335
2009,406.57182389871696,2013.0,0.0671399980783463,2014.0,1.40823996067047,2014.0,3.0716600418090803,2014.0,0.6630600094795229
2015,425.2652991561821,2011.0,0.5988500118255621,2011.0,2.03751993179321,2011.0,1.58097994327545,2011.0,1.04548001289368
2015,416.2293,2014.0,1.83028995990753,2014.0,1.70088005065918,2014.0,3.94181990623474,2014.0,1.71733999252319
2015,426.8845,,,,,,,,
2015,513.11897043,2013.0,0.4041900038719179,2013.0,1.39724004268646,2013.0,2.28231000900269,2013.0,1.6229900121688798
2015,528.799732117044,2014.0,0.5152999758720399,2014.0,1.88919997215271,2014.0,2.8256399631500204,2014.0,1.91817998886108
2015,373.0,,,,,,,2002.0,0.495370000600815
2015,513.1912,2012.0,0.81971001625061,2012.0,1.97596001625061,2011.0,2.6746599674224902,2011.0,2.343689918518069
2009,370.727300538288,2011.0,0.158189997076988,2011.0,1.89592003822327,2011.0,1.70815002918243,2012.0,1.27742004394531
2015,397.5414,2014.0,0.607360005378723,2014.0,1.44743001461029,2014.0,1.1250499486923202,2014.0,0.67875999212265
2015,518.186880548638,2012.0,0.5661100149154661,2012.0,1.81968998908997,2012.0,2.04764008522034,2012.0,1.18742001056671
2015,498.1289,2011.0,0.391259998083115,2011.0,1.62791001796722,2011.0,2.4961199760437003,2011.0,1.1162099838256798
2015,401.8874,2009.0,0.15038999915123,2009.0,0.6020299792289731,2009.0,0.5031200051307679,,
2015,437.599488277424,2013.0,0.3949399888515471,2013.0,0.8402199745178219,2013.0,1.53031003475189,2013.0,1.17709004878998
2015,494.6278,2008.0,0.6166800260543821,,,,,2012.0,0.948059976100922
2012,446.130195516461,2011.0,0.0499499998986721,2011.0,2.23988008499146,2011.0,1.12088000774384,2012.0,1.33385002613068
2015,542.215834174158,,,2013.0,0.65556001663208,2013.0,0.7761099934577941,2013.0,1.18491005897522
2015,477.443352445841,2013.0,0.4895699918270109,2013.0,0.8524799942970279,2013.0,2.26724004745483,2013.0,0.971580028533936
2015,505.2159,2012.0,0.665520012378693,2012.0,1.58682000637054,2011.0,2.8326199054718,2012.0,1.35046005249023
2015,556.021910226254,2013.0,0.178200006484985,2013.0,1.52400004863739,2013.0,1.7848000526428205,2013.0,0.864180028438568
2015,495.5764,2013.0,0.699310004711151,2013.0,1.24312996864319,2013.0,2.01188993453979,2013.0,1.14038002490997
2015,516.331185779085,2013.0,1.29136002063751,2013.0,1.95955002307892,2013.0,2.8441200256347696,2013.0,1.98274004459381
2015,509.04024971251897,2012.0,0.195189997553825,2012.0,1.66007995605469,2012.0,2.22000002861023,2012.0,1.52404999732971
2015,441.219934309878,2013.0,0.5744900107383729,2013.0,2.42563009262085,2013.0,1.2990499734878502,2013.0,1.1154999732971205
2015,427.2733,2009.0,0.348479986190796,2009.0,1.7103699445724498,2009.0,1.6203099489212,,
2015,404.078467250271,1999.0,0.0036700000055134,2008.0,2.38450002670288,2008.0,2.96931004524231,2014.0,1.78987002372742
2015,475.491466080751,2004.0,0.0181200001388788,,,,,2006.0,0.960399985313416
2015,441.70373607625504,2012.0,0.176420003175735,2012.0,0.5642200112342829,2012.0,0.711700022220612,,
2015,523.0,2013.0,0.425300002098084,2013.0,1.78767001628876,2013.0,2.87037992477417,2013.0,1.36233997344971
2015,504.419691245284,2012.0,0.367269992828369,2012.0,1.7849800586700402,2012.0,2.03250002861023,2011.0,1.46068000793457
2015,436.5721,2011.0,0.442609995603561,2011.0,1.21408998966217,2011.0,1.44485998153687,2011.0,1.1686600446701
2015,508.218990432106,2012.0,0.679660022258759,2012.0,2.01804995536804,2012.0,2.72829008102417,2012.0,1.08313000202179
